GAP ANALYSIS SUMMARY — AL, AR, CA, DE, KS, MD, MI, MN, MO, NC, PA, TX, VA, WA
Generated against: Alabama Sentencing Commission Presumptive Manual 2024, Arkansas Sentencing Commission Benchbook 2026, California CALCRIM 2026 (Judicial Council Jury Instructions), Delaware SENTAC Benchbook 2025, KS Sentencing Commission 2013, Maryland MSCCSP Offense Table Jan 2026, MI Sentencing Guidelines Oct 2024, Minnesota Sentencing Guidelines Aug 2025, MO Charge Code Manual Feb 2026, NC Combined Offense List Dec 2025, PA Commission on Sentencing 8th Edition 2024, Texas Legislative Council Felony Offenses 2018, Virginia Crime Code System FY17, Washington Adult Sentencing Manual Oct 2025

======================================================================
AL
======================================================================
Our entries:            129
Authoritative entries:  87
Matched:                40 (31%)
Unmatched (phantom?):   89
Missing from ours:      45
Citation mismatches:    22

UNMATCHED — charges we have with no authoritative match:
  [F] Vehicular Homicide                                 | Ala. Code § 32-5A-192 | confidence: needs_review
  [M] Providing False Information to Police              | Ala. Code § 13A-10-9 | confidence: medium
  [M] Contempt of Court                                  | Ala. Code § 12-11-30 | confidence: medium
  [M] Writing Bad Checks / Worthless Checks              | Ala. Code § 13A-9-13.1 | confidence: medium
  [M] Solicitation / Prostitution                        | Ala. Code § 13A-12-121 | confidence: medium
  [M] Driving Without Insurance                          | Ala. Code § 32-7A-16 | confidence: medium
  [M] Reckless/Careless Driving (Criminal)               | Ala. Code § 32-5A-190 | confidence: medium
  [M] Driving with Expired Registration                  | Ala. Code § 32-6-18 | confidence: medium
  [M] Driving with Expired/No Inspection                 | Ala. Code § 32-5-210 | confidence: medium
  [M] Criminal Nonsupport / Failure to Pay Child Support | Ala. Code § 30-3-62 | confidence: medium
  [M] Noise Violation / Disturbing the Peace by Noise    | Ala. Code § 13A-11-7 | confidence: medium
  [M] Indecent Exposure / Public Urination               | Ala. Code § 13A-12-130 | confidence: needs_review
  [M] Possession of Fake/Fraudulent ID                   | Ala. Code § 28-1-5.1 | confidence: medium
  [M] Animal at Large / Leash Law Violation              | Ala. Code § 3-5-3 | confidence: medium
  [M] Animal Cruelty (Misdemeanor)                       | Ala. Code § 13A-11-14 | confidence: medium
  [M] Illegal Camping / Sleeping in Public               | Ala. Code § 13A-7-2 | confidence: medium
  [M] Panhandling / Aggressive Solicitation              | Ala. Code § 13A-11-7 | confidence: medium
  [M] Operating Unregistered / Uninsured Vehicle         | Ala. Code § 40-12-260 | confidence: medium
  [M] Curfew Violation                                   | Ala. Code § 12-15-13 | confidence: medium
  [M] Trespass After Warning / Return After Ban          | Ala. Code § 13A-7-2 | confidence: medium
  [I] Defective Vehicle Equipment / Broken Taillight     | Ala. Code § 32-5-240 | confidence: medium
  [M] Truancy / Chronic Absenteeism                      | Ala. Code § 16-28-12 | confidence: medium
  [M] Littering / Illegal Dumping                        | Ala. Code § 13A-7-29 | confidence: medium
  [M] Illegal Discharge of Fireworks                     | Ala. Code § 8-17-212 | confidence: medium
  [M] Possession of Alcohol in Park / Prohibited Area    | Ala. Code § 13A-11-10 | confidence: medium
  [M] Fishing / Hunting Without a License                | Ala. Code § 9-11-54 | confidence: medium
  [F] Criminal Attempt                                   | Ala. Code § 13A-4-2 | confidence: medium
  [F] Criminal Conspiracy                                | Ala. Code § 13A-4-3 | confidence: medium
  [F] Aiding and Abetting / Accomplice Liability         | Ala. Code § 13A-2-23 | confidence: medium
  [F] Accessory After the Fact                           | Ala. Code § 13A-10-43 | confidence: medium
  [F] Attempted Sexual Assault                           | Ala. Code §§ 13A-4-2, 13A-6-61 | confidence: high
  [F] Criminal Solicitation                              | Ala. Code § 13A-4-1 | confidence: medium
  [F] Criminal Street Gang Enhancement                   | Ala. Code § 13A-6-26 | confidence: medium
  [F] Hate Crime Enhancement                             | Ala. Code § 13A-5-13 | confidence: medium
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Ala. Code § 13A-5-9 | confidence: medium
  [F] Use of a Firearm in Commission of a Felony         | Ala. Code § 13A-5-6(a)(4) | confidence: medium
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Ala. Code § 13A-12-250 | confidence: medium
  [F] RICO / Organized Crime (Racketeering)              | Ala. Code § 13A-12-232 | confidence: medium
  [F] Money Laundering                                   | Ala. Code § 13A-12-200.7 | confidence: medium
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Ala. Code § 12-15-102(3) | confidence: medium
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Ala. Code § 12-15-102(3) | confidence: medium
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Ala. Code § 12-15-203 | confidence: medium
  [F] Juvenile Firearm Possession                        | Ala. Code § 13A-11-72 | confidence: medium

CITATION MISMATCHES — matched charges with differing section numbers:
  Assault in the Second Degree                  | ours: 13A-6-21           | auth: 13A-6-20
  Assault in the Third Degree                   | ours: 13A-6-22           | auth: 13A-6-20
  Rape in the Second Degree                     | ours: 13A-6-62           | auth: 13A-6-61
  Sexual Assault in the First Degree            | ours: 13A-6-61           | auth: 13A-6-20
  Sexual Assault in the Second Degree           | ours: 13A-6-68           | auth: 13A-6-20
  Sexual Assault in the Third Degree            | ours: 13A-6-65           | auth: 13A-6-20
  Statutory Rape                                | ours: 13A-6-62           | auth: 13A-6-61
  Child Sexual Abuse                            | ours: 13A-6-69.1         | auth: 26-15-3
  Burglary in the Second Degree                 | ours: 13A-7-6            | auth: 13A-7-5
  Burglary in the Third Degree                  | ours: 13A-7-7            | auth: 13A-7-5
  Commercial Burglary                           | ours: 13A-7-6            | auth: 13A-7-5
  Auto Burglary                                 | ours: 13A-7-7            | auth: 13A-7-5
  Robbery in the Second Degree                  | ours: 13A-8-42           | auth: 13A-8-41
  Robbery in the Third Degree                   | ours: 13A-8-43           | auth: 13A-8-41
  Distribution of Controlled Substance          | ours: 13A-12-211         | auth: 13A-12-212
  Possession of Drug Paraphernalia              | ours: 13A-12-260         | auth: 13A-12-213
  Possession of Prohibited Weapon               | ours: 13A-11-60          | auth: 13A-12-213
  DUI                                           | ours: 32-5A-191          | auth: 32-5a-191
  Possession of Marijuana 2nd Degree            | ours: 13A-12-214         | auth: 13A-12-213
  Harassment / Stalking                         | ours: 13A-11-8           | auth: 13A-6-90
  Attempted Murder                              | ours: 13A-4-2            | auth: 13A-6-2
  Attempted Robbery                             | ours: 13A-4-2            | auth: 13A-8-41

MISSING FELONIES — in authoritative source but not in our database:
  Compelling street gang membership                  | Ala. Code § 13A-6-26 | Felony
  Kidnapping I                                       | Ala. Code § 13A-6-43 | Felony
  Kidnapping II                                      | Ala. Code § 13A-6-44 | Felony
  Sodomy I                                           | Ala. Code § 13A-6-63 | Felony
  Sodomy II                                          | Ala. Code § 13A-6-64 | Felony
  Sexual torture                                     | Ala. Code § 13A-6-65.l | Felony
  Enticing a child to enter a vehicle for immoral purposes | Ala. Code § 13A-6-69 | Felony
  Aggravated stalking                                | Ala. Code § 13A-6-91 | Felony
  Soliciting a child by computer                     | Ala. Code § 13A-6-110 | Felony
  Arson I                                            | Ala. Code § 13A-7-41 | Felony
  Extortion I                                        | Ala. Code § 13A-8-14 | Felony
  Terrorist threats                                  | Ala. Code § 13A-10-15 | Felony
  Escape I                                           | Ala. Code § 13A-10-31 | Felony
  Promoting prison contraband I                      | Ala. Code § 13A-10-36 | Felony
  Intimidating a witness                             | Ala. Code § 13A-10-123 | Felony
  Intimidating a juror                               | Ala. Code § 13A-10-127 | Felony
  Treason                                            | Ala. Code § 13A-11-2 | Felony
  Promoting prostitution I                           | Ala. Code § 13A-12-111 | Felony
  Production of obscene matter involving a minor     | Ala. Code § 13A-12-197 | Felony
  Traffi cking                                       | Ala. Code § 13A-12-231 | Felony
  Elder abuse                                        | Ala. Code § 38-9-7 | Felony
  Terrorism                                          | Ala. Code § 13A-10-152 | Felony
  Hindering prosecution for terrorism                | Ala. Code § 13A-10-154 | Felony
  Domestic violence by strangulation or suff ocation | Ala. Code § 13A-6-138 | Felony
  Human traffi cking I                               | Ala. Code § 13A-6-152 | Felony
  Human traffi cking II                              | Ala. Code § 13A-6-153 | Felony
  Hindering prosecution in the fi rst degree         | Ala. Code § 13A-10-43 | Felony
  Sale/Distribution of Marihuana (other than to minor) | Ala. Code § 13A-12-211 | Class B Felony
  Sale/Distribution of Schedule I-V (other than to minor) | Ala. Code § 13A-12-211 | Class B Felony
  Receiving Stolen Property 1st                      | Ala. Code § 13A-8-17 | Class B Felony
  Receiving Stolen Property 2nd                      | Ala. Code § 13A-8-18 | Class C Felony
  Receiving Stolen Property 3rd                      | Ala. Code § 13A-8-18.1 | Class D Felony
  Theft of Lost Property 1st                         | Ala. Code § 13A-8-7 | Class B Felony
  Theft of Lost Property 2nd                         | Ala. Code § 13A-8-8 | Class C Felony
  Theft of Lost Property 3rd                         | Ala. Code § 13A-8-8.1 | Class D Felony
  Theft of Property 1st *                            | Ala. Code § 13A-8-3 | Class B Felony
  Theft of Property 2nd *                            | Ala. Code § 13A-8-4 | Class C Felony
  Theft of Property 3rd *                            | Ala. Code § 13A-8-4.1 | Class D Felony
  Theft of Services 1st                              | Ala. Code § 13A-8-10.1 | Class B Felony
  Theft of Services 2nd                              | Ala. Code § 13A-8-10.2 | Class C Felony
  ... and 5 more felonies

MISSING MISDEMEANORS — in authoritative source but not in our database (sample):

======================================================================
AR
======================================================================
Our entries:            129
Authoritative entries:  888
Matched:                38 (29%)
Unmatched (phantom?):   91
Missing from ours:      821
Citation mismatches:    22

UNMATCHED — charges we have with no authoritative match:
  [F] Murder in the First Degree                         | Ark. Code Ann. § 5-10-102 | confidence: high
  [F] Murder in the Second Degree                        | Ark. Code Ann. § 5-10-103 | confidence: high
  [F] Voluntary Manslaughter                             | Ark. Code Ann. § 5-10-104 | confidence: high
  [F] Involuntary Manslaughter                           | Ark. Code Ann. § 5-10-104 | confidence: high
  [F] Criminally Negligent Homicide                      | Ark. Code Ann. § 5-10-105 | confidence: high
  [F] Vehicular Homicide                                 | Ark. Code Ann. § 5-10-105 | confidence: high
  [F] Felony Murder                                      | Ark. Code Ann. § 5-10-101 | confidence: high
  [F] Assault with Deadly Weapon                         | Ark. Code Ann. § 5-13-201(a)(2) | confidence: high
  [M] Domestic Violence Assault                          | Ark. Code Ann. § 5-26-303 | confidence: high
  [F] Assault on Peace Officer                           | Ark. Code Ann. § 5-13-207 | confidence: high
  [M] Menacing                                           | Ark. Code Ann. § 5-13-301 | confidence: medium
  [F] Statutory Rape                                     | Ark. Code Ann. § 5-14-103 | confidence: high
  [F] Sexual Exploitation of Minor                       | Ark. Code Ann. § 5-27-303 | confidence: high
  [F] Grand Theft in the First Degree                    | Ark. Code Ann. § 5-36-103 | confidence: medium
  [F] Grand Theft in the Second Degree                   | Ark. Code Ann. § 5-36-103 | confidence: medium
  [M] Petty Theft                                        | Ark. Code Ann. § 5-36-103 | confidence: medium
  [F] Identity Theft                                     | Ark. Code Ann. § 5-37-227 | confidence: medium
  [F] Credit Card Fraud                                  | Ark. Code Ann. § 5-37-207 | confidence: medium
  [F] Embezzlement                                       | Ark. Code Ann. § 5-36-201 | confidence: medium
  [M] Shoplifting                                        | Ark. Code Ann. § 5-36-116 | confidence: medium
  [F] Auto Burglary                                      | Ark. Code Ann. § 5-39-203(a)(1) | confidence: medium
  [F] Carjacking                                         | Ark. Code Ann. § 5-12-102 | confidence: medium
  [F] Possession with Intent to Distribute               | Ark. Code Ann. § 5-64-401(a)(1) | confidence: low
  [F] Drug Trafficking                                   | Ark. Code Ann. § 5-64-440 | confidence: high
  [F] Maintaining Drug House                             | Ark. Code Ann. § 5-64-402 | confidence: medium
  [M] Unlawful Carrying of Weapon                        | Ark. Code Ann. § 5-73-120 | confidence: medium
  [F] Wire Fraud                                         | Ark. Code Ann. § 5-36-101 | confidence: medium
  [F] Mail Fraud                                         | Ark. Code Ann. § 5-37-226 | confidence: medium
  [F] Check Fraud                                        | Ark. Code Ann. § 5-37-302 | confidence: medium
  [F] Tax Fraud                                          | Ark. Code Ann. § 26-18-303 | confidence: medium
  [M] Disorderly Conduct                                 | Ark. Code Ann. § 5-71-207 | confidence: medium
  [M] Public Intoxication                                | Ark. Code Ann. § 5-71-212 | confidence: medium
  [M] Disturbing the Peace                               | Ark. Code Ann. § 5-71-207 | confidence: medium
  [M] Trespassing                                        | Ark. Code Ann. § 5-39-203 | confidence: medium
  [M] Vandalism                                          | Ark. Code Ann. § 5-38-203 | confidence: medium
  [M] Loitering                                          | Ark. Code Ann. § 5-71-213 | confidence: medium
  [M] DUI First Offense                                  | Ark. Code Ann. § 5-65-103 | confidence: high
  [M] DUI Second Offense                                 | Ark. Code Ann. § 5-65-103(b) | confidence: high
  [F] DUI Third Offense                                  | Ark. Code Ann. § 5-65-103(c) | confidence: high
  [M] Reckless Driving                                   | Ark. Code Ann. § 27-50-308 | confidence: medium
  [M] Hit and Run                                        | Ark. Code Ann. § 27-53-101 | confidence: medium
  [M] Driving While Suspended                            | Ark. Code Ann. § 27-16-303 | confidence: medium
  [M] Possession of Marijuana (Under 4 oz)               | Ark. Code Ann. § 5-64-419 | confidence: medium
  [M] Driving on Suspended License                       | Ark. Code Ann. § 27-16-303 | confidence: medium
  [M] Probation Violation                                | Ark. Code Ann. § 5-4-310 | confidence: medium
  [M] Resisting Arrest / Obstruction                     | Ark. Code Ann. § 5-54-103 | confidence: medium
  [M] Violation of Protective Order                      | Ark. Code Ann. § 5-53-134 | confidence: medium
  [M] Open Container Violation                           | Ark. Code Ann. § 5-71-218 | confidence: high
  [M] Minor in Possession of Alcohol                     | Ark. Code Ann. § 3-3-203 | confidence: medium
  [M] Providing False Information to Police              | Ark. Code Ann. § 5-54-122 | confidence: medium
  [M] Contempt of Court                                  | Ark. Code Ann. § 16-10-108 | confidence: medium
  [M] Writing Bad Checks / Worthless Checks              | Ark. Code Ann. § 5-37-302 | confidence: medium
  [M] Solicitation / Prostitution                        | Ark. Code Ann. § 5-70-102 | confidence: medium
  [M] Driving Without Insurance                          | Ark. Code Ann. § 27-22-103 | confidence: medium
  [M] Reckless/Careless Driving (Criminal)               | Ark. Code Ann. § 27-50-308 | confidence: medium
  [M] Driving with Expired Registration                  | Ark. Code Ann. § 27-14-601 | confidence: medium
  [M] Driving with Expired/No Inspection                 | Ark. Code Ann. § 27-37-601 | confidence: medium
  [M] Criminal Nonsupport / Failure to Pay Child Support | Ark. Code Ann. § 5-26-401 | confidence: medium
  [M] Noise Violation / Disturbing the Peace by Noise    | Ark. Code Ann. § 5-71-207 | confidence: medium
  [M] Indecent Exposure / Public Urination               | Ark. Code Ann. § 5-14-112 | confidence: high
  [M] Possession of Fake/Fraudulent ID                   | Ark. Code Ann. § 3-3-202 | confidence: medium
  [M] Animal at Large / Leash Law Violation              | Ark. Code Ann. § 20-19-301 | confidence: medium
  [M] Animal Cruelty (Misdemeanor)                       | Ark. Code Ann. § 5-62-101 | confidence: medium
  [M] Illegal Camping / Sleeping in Public               | Ark. Code Ann. § 5-39-203 | confidence: medium
  [M] Panhandling / Aggressive Solicitation              | Ark. Code Ann. § 5-71-207 | confidence: medium
  [M] Operating Unregistered / Uninsured Vehicle         | Ark. Code Ann. § 27-14-306 | confidence: medium
  [M] Curfew Violation                                   | Ark. Code Ann. § 9-13-101 | confidence: medium
  [M] Trespass After Warning / Return After Ban          | Ark. Code Ann. § 5-39-203 | confidence: medium
  [I] Defective Vehicle Equipment / Broken Taillight     | Ark. Code Ann. § 27-37-101 | confidence: medium
  [M] Truancy / Chronic Absenteeism                      | Ark. Code Ann. § 6-18-201 | confidence: medium
  [M] Littering / Illegal Dumping                        | Ark. Code Ann. § 8-6-406 | confidence: medium
  [M] Illegal Discharge of Fireworks                     | Ark. Code Ann. § 20-22-705 | confidence: medium
  [M] Possession of Alcohol in Park / Prohibited Area    | Ark. Code Ann. § 3-3-204 | confidence: medium
  [M] Fishing / Hunting Without a License                | Ark. Code Ann. § 15-42-104 | confidence: medium
  [F] Criminal Attempt                                   | Ark. Code Ann. § 5-3-201 | confidence: medium
  [F] Criminal Conspiracy                                | Ark. Code Ann. § 5-3-401 | confidence: medium
  [F] Aiding and Abetting / Accomplice Liability         | Ark. Code Ann. § 5-2-403 | confidence: medium
  [F] Accessory After the Fact                           | Ark. Code Ann. § 5-2-405 | confidence: medium
  [F] Attempted Murder                                   | Ark. Code Ann. §§ 5-3-201, 5-10-102 | confidence: needs_review
  [F] Criminal Solicitation                              | Ark. Code Ann. § 5-3-301 | confidence: medium
  [F] Criminal Street Gang Enhancement                   | Ark. Code Ann. § 5-74-106 | confidence: medium
  [F] Hate Crime Enhancement                             | Ark. Code Ann. § 5-71-215 | confidence: medium
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Ark. Code Ann. § 5-4-501 | confidence: medium
  [F] Use of a Firearm in Commission of a Felony         | Ark. Code Ann. § 16-90-120 | confidence: medium
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Ark. Code Ann. § 5-64-412 | confidence: medium
  [F] RICO / Organized Crime (Racketeering)              | Ark. Code Ann. § 5-74-203 | confidence: medium
  [F] Money Laundering                                   | Ark. Code Ann. § 5-55-103 | confidence: medium
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Ark. Code Ann. § 9-27-303(21) | confidence: medium
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Ark. Code Ann. § 9-27-303(21) | confidence: medium
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Ark. Code Ann. § 9-27-318 | confidence: medium
  [F] Juvenile Firearm Possession                        | Ark. Code Ann. § 5-73-119 | confidence: medium

CITATION MISMATCHES — matched charges with differing section numbers:
  Assault in the First Degree                   | ours: 5-13-201           | auth: 5-13-204
  Assault in the Second Degree                  | ours: 5-13-202           | auth: 5-13-204
  Assault in the Third Degree                   | ours: 5-13-205           | auth: 5-13-204
  Rape in the First Degree                      | ours: 5-14-103           | auth: 5-14-114
  Rape in the Second Degree                     | ours: 5-14-103           | auth: 5-14-114
  Sexual Assault in the Second Degree           | ours: 5-14-125           | auth: 5-14-124
  Sexual Assault in the Third Degree            | ours: 5-14-126           | auth: 5-14-124
  Child Sexual Abuse                            | ours: 5-14-125           | auth: 5-14-110
  Burglary in the Second Degree                 | ours: 5-39-204           | auth: 5-39-201
  Residential Burglary                          | ours: 5-39-201           | auth: 5-39-204
  Robbery in the First Degree                   | ours: 5-12-103           | auth: 5-12-102
  Distribution of Controlled Substance          | ours: 5-64-422           | auth: 5-64-440
  Manufacturing Controlled Substance            | ours: 5-64-424           | auth: 5-64-440
  Discharge of Firearm in City                  | ours: 5-73-107           | auth: 5-74-107
  Possession of Prohibited Weapon               | ours: 5-73-104           | auth: 5-73-131
  Insurance Fraud                               | ours: 23-66-502          | auth: 5-37-505
  DWI - First Offense                           | ours: 5-65-103           | auth: 5-75-102
  Battery in the Third Degree                   | ours: 5-13-203           | auth: 5-13-201
  Domestic Battering in the Third Degree        | ours: 5-26-305           | auth: 5-26-303
  Harassment / Stalking                         | ours: 5-71-208           | auth: 5-71-229
  Attempted Robbery                             | ours: 5-3-201            | auth: 5-12-102
  Attempted Sexual Assault                      | ours: 5-3-201            | auth: 5-14-124

MISSING FELONIES — in authoritative source but not in our database:
  Aggravated Death by Delivery - Victim is a Minor < 3 Years Younger than Defendant | Ark. Code Ann. § 5-10-202 (a)(2) & (b)(2)(B) | Class U
  Death by delivery – 1st Degree                     | Ark. Code Ann. § 5-10-203 (a) & (b)(1) | Class Y
  Death by delivery – 1st Degree                     | Ark. Code Ann. § 5-10-203 (a) & (b)(2) | Class A
  Death by delivery 2nd Degree                       | Ark. Code Ann. § 5-10-204 (a) & (b)(1) | Class A
  Death by delivery 2nd Degree                       | Ark. Code Ann. § 5-10-204 (a) & (b)(2) | Class B
  Death by delivery 2nd Degree                       | Ark. Code Ann. § 5-10-204 (a) & (b)(3) | Class Y
  Kidnapping                                         | Ark. Code Ann. § 5-11-102 | Class Y
  Kidnapping, Victim Voluntarily Released Alive      | Ark. Code Ann. § 5-11-102 | Class B
  False Imprisonment 1st Degree                      | Ark. Code Ann. § 5-11-103 | Class C
  Vehicular Piracy of an Aircraft                    | Ark. Code Ann. § 5-11-105 | Class B
  Vehicular Piracy                                   | Ark. Code Ann. § 5-11-105 | Class C
  Permanent Detention                                | Ark. Code Ann. § 5-11-106 | Class B
  Permanent Detention of Offender's Child            | Ark. Code Ann. § 5-11-106 | Class D
  Battery 1st Degree - Victim is 4 Years of Age or Younger | Ark. Code Ann. § 5-13-201 | Class Y
  Battery 1st Degree - Victim is Law Enforcement in Line of Duty | Ark. Code Ann. § 5-13-201 | Class Y
  Battery 1st Degree - Victim is Employee of a Correctional Facility | Ark. Code Ann. § 5-13-201 (c)(3) | Class Y
  Battery 1st Degree - Purposely Causing Permanent Disfigurement | Ark. Code Ann. § 5-13-201 (a)(2) & (c)(2) | Class Y
  Battery 1st Degree - Victim is 60 Years of Age or Older / 12 Years of Age or Younger | Ark. Code Ann. § 5-13-201 (a)(7) | Class B
  Battery 2nd Degree - Motor Vehicle or Motor Boat   | Ark. Code Ann. § 5-13-202 (a)(3)(B) & (b)(1) | Class C
  Battery 2nd Degree - Recklessly Injure Victim < 4 years of age | Ark. Code Ann. § 5-13-202 (a)(3)(C) | Class D
  Battery 2nd Degree - Certain Victims               | Ark. Code Ann. § 5-13-202(a)(4) | Class D
  Aggravated Assault - Impedes or Prevents Respiration of Another or Circulation of Another Person's Blood (includes pressure on chest 07/24/2019 and thereafter) | Ark. Code Ann. § 5-13-204 (a)(3) | Class D
  Abuse of an Athletic Contest Official - Purpose to Cause Serious Physical Injury | Ark. Code Ann. § 5-13-209 (a)(1) & (b)(1) | Class B
  Abuse of an Athletic Contest Official - Purpose to Cause Physical Injury | Ark. Code Ann. § 5-13-209 (a)(2) & (b)(2) | Class C
  Intro C/S into Body - Schedule I-II, Narcotic      | Ark. Code Ann. § 5-13-210 | Class Y
  Intro C/S into Body to Commit Sexual Offense       | Ark. Code Ann. § 5-13-210 (f) | Class Y
  Intro C/S into Body Schedule I-III, Non-Narcotic   | Ark. Code Ann. § 5-13-210 | Class B
  Intro C/S into Body Schedule IV-V                  | Ark. Code Ann. § 5-13-210 | Class C
  Aggravated Assault upon a Certified Law Enforcement Officer or Employee of a Correctional Facility | Ark. Code Ann. § 5-13-211 (a)(1) & (b)(1) | Class D
  Aggravated Assault Upon a Law Enforcement Officer or Employee of a Correctional Facility - Discharge of a Firearm | Ark. Code Ann. § 5-13-211 (a)(2) & (b)(2) | Class Y
  Fertility Treatment Abuse                          | Ark. Code Ann. § 5-13-212 (b) & (c) | Class B
  Knowingly Exposing Another Person to Fentanyl – 1st Degree - Certain Victims | Ark. Code Ann. § 5-13-214 (b)(1) & (b)(2)(A) | Class Y
  Knowingly Exposing Another Person to Fentanyl - 1st Degree | Ark. Code Ann. § 5-13-214 (b)(1) & (b)(2)(B) | Class A
  Knowingly Exposing Another Person to Fentanyl – 1st Degree - Certain Victims | Ark. Code Ann. § 5-13-214 (c)(1) & (c)(2)(A) | Class A
  Knowingly Exposing Another Person to Fentanyl – 2nd Degree | Ark. Code Ann. § 5-13-214 (c)(1) & (c)(2)(B) | Class B
